"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","26. März 2018 ","","Mittwoch startet der Prozess um den Mord an Berliner Schlossherrin; Erwürgt und ausgeraubt, von einem Mann, der schon längst abgeschoben sein sollte ...","","Bild plus","","",
"","26. März 2018 ","","Flüchtling sticht Frau nieder; Freund erzählt, wie der Streit im Supermarkt eskalierte","","Bild plus","","",
"","26. März 2018 ","","Auf Streife! Bahnrad-Star Kristina Vogel sorgt in Erfurt für Sicherheit; Olympia-Heldin jagt jetzt Verbrecher!","","Bild plus","","",
"","25. März 2018 ","",""Arme Kinder sind nicht dümmer als reiche; Das größte Problem von Familien ist ...","","Bild plus","","",
"","25. März 2018 ","","Mittwoch startet der Prozess um den Mord an Berliner Schlossherrin; "Kann nicht von ihr Abschied nehmen. Es geht noch nicht"","","Bild plus","","",
"","24. März 2018 ","","Familien besser fördern; "Arme Kinder sind nicht dümmer als reiche","","Bild plus","","",
"","24. März 2018 ","","Edgar Selge zum 70. Geburtstag; "Ich weiß nicht, ob ich ohne meine Frau überlebt hätte"","","Bild plus","","",
"","23. März 2018 ","","BILD-Besuch bei PUR-Chef Hartmut Engler; Darum vermietet er sein Elternhaus an Flüchtlinge","","Bild plus","","",
"","22. März 2018 ","","BILD-Besuch bei PUR-Chef Hartmut Engler; Darum vermietet er sein Elternhaus an Flüchtlinge","","Bild plus","","",
"","21. März 2018 ","","Teure Abschiebungen; 83 Beamte bringen 22 Pakistani nach Hause","","Bild plus","","",
"","19. März 2018 ","","Plastik-Penisse, Drogen, Affären; Das lustige Knacki-Leben in der JVA Heidering","","Bild plus","","",
"","17. März 2018 ","","Interview mit Bundeswehr-Oberst Heisner in Mali; Verhindern Ihre Soldaten die nächste Flüchtlingswelle?","","Bild plus","","",
"","15. März 2018 ","","Ihr afghanischer Ex-Freund (18) soll das Mädchen (17) erstochen haben; Musste Mireille sterben, weil sie einen anderen Jungen liebte?","","Bild plus","","",
"","15. März 2018 ","","Freundin des ermordeten Mädchens; "Mireille (+ 17) trug Kopftuch für ihren Killer","","Bild plus","","",
"","15. März 2018 ","","Heimat-Minister Horst Seehofer; "Der Islam gehört nicht zu Deutschland!"","","Bild plus","","",
