"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Freitag 13. April 2018 6:32 PM GMT+1","","Frankreich will in Fessenheim künftig Solarenergie erzeugen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 6:32 PM GMT+1","","Frankreich will in Fessenheim künftig Solarenergie erzeugen","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:04 PM GMT+1","","Immer mehr Thüringer heizen mit erneuerbaren Energien","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 5:04 PM GMT+1","","Immer mehr Thüringer heizen mit erneuerbaren Energien","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 4:23 PM GMT+1","","Neuer Batteriespeicher von Bosch und EnBW in Betrieb","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 4:23 PM GMT+1","","Neuer Batteriespeicher von Bosch und EnBW in Betrieb","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 12:36 PM GMT+1","","Grüne: Bayerns öffentliche Hand soll klimaneutral arbeiten","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 12:36 PM GMT+1","","Grüne: Bayerns öffentliche Hand soll klimaneutral arbeiten","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 2:20 AM GMT+1","","Bosch und EnBW weihen neuen Batteriespeicher ein","","WELT ONLINE (Deutsch)","","",
"","Freitag 13. April 2018 1:50 AM GMT+1","","Atomexperten geben Sicherheits-Einschätzung zu Tihange","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 12. April 2018 2:56 PM GMT+1","","Textil- und Bekleidungsgewerbe ist für 2018 zuversichtlich","","WELT ONLINE (Deutsch)","","",
"","Donnerstag 12. April 2018 2:56 PM GMT+1","","Textil- und Bekleidungsgewerbe ist für 2018 zuversichtlich","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 11. April 2018 5:45 PM GMT+1","","Kretschmer: Es darf keinen Abbruch wie 1990 geben","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 11. April 2018 5:45 PM GMT+1","","Kretschmer: Es darf keinen Abbruch wie 1990 geben","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 11. April 2018 4:24 PM GMT+1","","Gericht: Anti-Atomkraft-Aktivistin muss Bußgeld zahlen","","WELT ONLINE (Deutsch)","","",
"","Mittwoch 11. April 2018 4:24 PM GMT+1","","Gericht: Anti-Atomkraft-Aktivistin muss Bußgeld zahlen","","WELT ONLINE (Deutsch)","","",
