"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Sonntag 6. Mai 2018 3:13 PM GMT+1","","Zippert zappt; Seehofer will, dass Flüchtlinge die Anker lichten","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 3:13 PM GMT+1","","Zippert zappt; Seehofer will, dass Flüchtlinge die Anker lichten","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 3:04 PM GMT+1","","Montags-Kundgebung; "Merkel muss weg"-Demos anscheinend vor dem Aus","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 3:04 PM GMT+1","","Montags-Kundgebung; "Merkel muss weg"-Demos anscheinend vor dem Aus","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 12:37 PM GMT+1","","Lamya Kaddor; Als die Islamexpertin versehentlich Schweinefleisch aß","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 12:37 PM GMT+1","","Lamya Kaddor; Als die Islamexpertin versehentlich Schweinefleisch aß","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 11:57 AM GMT+1","","Alexander Dobrindt (CSU); "Anti-Abschiebe-Industrie sabotiert Bemühungen des Rechtsstaates"","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 11:57 AM GMT+1","","Alexander Dobrindt (CSU); "Anti-Abschiebe-Industrie sabotiert Bemühungen des Rechtsstaates"","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 11:11 AM GMT+1","","Joachim Stamp (FDP); "Ein Aufenthaltsrecht auf Probe gewähren"","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 11:11 AM GMT+1","","Joachim Stamp (FDP); "Ein Aufenthaltsrecht auf Probe gewähren"","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 11:00 AM GMT+1","","Schutz der Binnengrenzen; Polizeigewerkschaft fordert Abweisung von Personen ohne Einreisepapiere","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 11:00 AM GMT+1","","Schutz der Binnengrenzen; Polizeigewerkschaft fordert Abweisung von Personen ohne Einreisepapiere","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 10:11 AM GMT+1","","Expertin: Antisemitismus geht alle an","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 10:11 AM GMT+1","","Expertin: Antisemitismus geht alle an","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 9:56 AM GMT+1","","Vorschlag der Union; Entwicklungshilfe nur noch für Länder, die Abschiebungen unterstützen","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 9:56 AM GMT+1","","Vorschlag der Union; Entwicklungshilfe nur noch für Länder, die Abschiebungen unterstützen","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 9:52 AM GMT+1","","Bremen wirbt weiter um pensionierte Lehrer","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 9:52 AM GMT+1","","Bremen wirbt weiter um pensionierte Lehrer","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 9:20 AM GMT+1","","Dobrindt beklagt "Anti-Abschiebe-Industrie" in Deutschland","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 9:20 AM GMT+1","","Dobrindt beklagt "Anti-Abschiebe-Industrie" in Deutschland","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 1:20 AM GMT+1","","Konferenz der CDU/CSU-Fraktionsvorsitzenden beginnt","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 12:06 AM GMT+1","","Fraktionsklausur; Frostige Stimmung zwischen Union und SPD vor Zugspitzen-Gipfel","","WELT ONLINE (Deutsch)","","",
"","Sonntag 6. Mai 2018 12:05 AM GMT+1","","Andere Honorarsätze; Mehr Geld vom Bund hilft bei Sprachkursen für Flüchtlinge","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 7:41 PM GMT+1","",""Styx" gewinnt Hauptpreis bei Filmfest: Hübchen geehrt","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 7:41 PM GMT+1","",""Styx" gewinnt Hauptpreis bei Filmfest: Hübchen geehrt","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 7:22 PM GMT+1","","AfD will mit zweistelligem Ergebnis in Landtag einziehen","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 7:22 PM GMT+1","","AfD will mit zweistelligem Ergebnis in Landtag einziehen","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 6:01 PM GMT+1","","Massenselbstmord von Demmin verstört bis heute","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 6:01 PM GMT+1","","Massenselbstmord von Demmin verstört bis heute","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 5:51 PM GMT+1","","Massenselbstmord von Demmin; Mütter banden Steine an ihre Kinder und ertränkten sie","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 5:51 PM GMT+1","","Massenselbstmord von Demmin; Mütter banden Steine an ihre Kinder und ertränkten sie","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 5:31 PM GMT+1","","Demonstrationen in Kandel mit rund 500 Teilnehmern","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 5:31 PM GMT+1","","Demonstrationen in Kandel mit rund 500 Teilnehmern","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 5:11 PM GMT+1","","Flüchtlingsunterkünfte: Initiativen wollen Mindeststandards","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 5:11 PM GMT+1","","Flüchtlingsunterkünfte: Initiativen wollen Mindeststandards","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 5:05 PM GMT+1","","WELT-Trend; Mehr als drei Viertel der Deutschen befürworten Ankerzentren","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 5:05 PM GMT+1","","WELT-Trend; Mehr als drei Viertel der Deutschen befürworten Ankerzentren","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 4:03 PM GMT+1","","Pause bei "Merkel muss weg"-Demos? Anmeldung liegt vor","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 4:03 PM GMT+1","","Pause bei "Merkel muss weg"-Demos? Anmeldung liegt vor","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 3:22 PM GMT+1","","Antisemitismus-Beauftragter; "AfD trägt dazu bei, dass antisemitische Klischees gedeihen"","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 3:22 PM GMT+1","","Antisemitismus-Beauftragter; "AfD trägt dazu bei, dass antisemitische Klischees gedeihen"","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 3:14 PM GMT+1","","Baden-Württemberg; Kretschmann fordert nach Ellwangen ein Einwanderungsgesetz","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 3:14 PM GMT+1","","Baden-Württemberg; Kretschmann fordert nach Ellwangen ein Einwanderungsgesetz","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 2:03 PM GMT+1","","Reiner Haseloff; "Wenn der Staat die Kontrolle verliert, hat das fatale Folgen"","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 2:03 PM GMT+1","","Reiner Haseloff; "Wenn der Staat die Kontrolle verliert, hat das fatale Folgen"","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 1:44 PM GMT+1","","Alexander Dobrindt; "Wer kein Bleiberecht erhält, soll sich gar nicht erst einrichten"","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 1:44 PM GMT+1","","Alexander Dobrindt; "Wer kein Bleiberecht erhält, soll sich gar nicht erst einrichten"","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 1:01 PM GMT+1","","Kretschmann lobt Polizei für Vorgehen in Ellwangen","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 1:01 PM GMT+1","","Kretschmann lobt Polizei für Vorgehen in Ellwangen","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 12:44 PM GMT+1","","Kritik an Söder; Günther fordert von der CDU mehr Stärke gegenüber der CSU","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 12:44 PM GMT+1","","Kritik an Söder; Günther fordert von der CDU mehr Stärke gegenüber der CSU","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 11:33 AM GMT+1","","Filmkomödie "HERRliche Zeiten"; In die Zange genommen von Bulgaren und Arabern?","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 11:33 AM GMT+1","","Filmkomödie "HERRliche Zeiten"; In die Zange genommen von Bulgaren und Arabern?","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 11:13 AM GMT+1","","Böser Scherz misslingt: Maskierter sorgt für Polizeieinsatz","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 11:13 AM GMT+1","","Böser Scherz misslingt: Maskierter sorgt für Polizeieinsatz","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 10:40 AM GMT+1","","Ankerzentrum für Asylbewerber auch in Sachsen geplant","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 10:40 AM GMT+1","","Ankerzentrum für Asylbewerber auch in Sachsen geplant","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 10:23 AM GMT+1","","Dramatischer Mangel; Lkw-Fahrer gesucht, zur Not auch ohne Deutschkenntnisse","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 10:23 AM GMT+1","","Dramatischer Mangel; Lkw-Fahrer gesucht, zur Not auch ohne Deutschkenntnisse","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 9:31 AM GMT+1","","Preisverleihung beim Filmfest in Schwerin","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 9:31 AM GMT+1","","Preisverleihung beim Filmfest in Schwerin","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 8:40 AM GMT+1","","Pro Asyl warnt vor Instrumentalisierung der Vorfälle","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 8:40 AM GMT+1","","Pro Asyl warnt vor Instrumentalisierung der Vorfälle","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 2:00 AM GMT+1","","Ökonom lädt zu "Neuem Hambacher Fest"","","WELT ONLINE (Deutsch)","","",
"","Samstag 5. Mai 2018 12:20 AM GMT+1","","Preisverleihung beim Filmfest: Ehrenpreis für Hübchen","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 7:25 PM GMT+1","","Ellwangen; Gericht lehnte bereits 2017 Antrag gegen Abschiebung des Togoers ab","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 7:25 PM GMT+1","","Ellwangen; Gericht lehnte bereits 2017 Antrag gegen Abschiebung des Togoers ab","","WELT ONLINE (Deutsch)","","",
"","Freitag 4. Mai 2018 6:43 PM GMT+1","","Gescheiterte Abschiebung; Wie Seehofer die Steilvorlage aus Ellwangen nutzt","","WELT ONLINE (Deutsch)","","",
