"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","29. April 2018 ","","Ein Glas Wasser von Donald Trump; Angela Merkel trifft bei einer Stippvisite im Weißen Haus auf den vor Selbstbewusstsein strotzenden Präsidenten. Seine Politik der Stärke funktioniert scheinbar gegenüber Nordkorea. Und siehe da: Sogar die einst so kritische Kanzlerin deutet jetzt Verbeugungen an","","Welt am Sonntag","","",
"","29. April 2018 ","","Trumps nüchterner Egoismus sollte anstecken","","Welt am Sonntag","","",
"","Samstag 28. April 2018 ","","Kartell der Gesetzlosen; Rund zweieinhalb Millionen Menschen in Deutschland verdienen ihren Lebensunterhalt komplett schwarz. Sie bilden eine parallele Wirtschaftswelt mit ganz eigenen Regeln","","Die Welt","","",
"","Samstag 28. April 2018 ","","Deutsche Sparsamkeit ärgert Trump; In den Haushaltsplanungen fallen die Ausgaben für Verteidigung geringer aus, als es die Amerikaner eigentlich erwarten. Bund verzichtet in den nächsten vier Jahren auf neue Schulden","","Die Welt","","",
"","Samstag 28. April 2018 ","","Trumps schwacher Gegner; Europa will den US-Präsidenten in letzter Minute von den angedrohten Strafzöllen abbringen. Doch die Akteure sind uneins","","Die Welt","","",
"","Samstag 28. April 2018 ","","Streit um die Google-Steuer; Erneut diskutieren die EU-Finanzminister über eine Abgabe, die vor allem US-Tech-Firmen treffen würde. Ihre Einführung könnte jedoch im Handelsstreit mit Amerika zu weiteren Problemen führen","","Die Welt","","",
"","Freitag 27. April 2018 ","","USA verlangen Zugeständnisse von Europa im Handelskonflikt; Trumps Wirtschaftsberater stellt im Gegenzug in Aussicht, die EU von Strafzöllen weiter zu verschonen. Kanzlerin Merkel dämpft vor Abflug zu Gesprächen mit dem US-Präsidenten die Erwartungen","","Die Welt","","",
"","Freitag 27. April 2018 ","","Im Weißen Haus wartet Ärger auf Merkel; Die Kanzlerin ist heute in Washington, um einen Handelskrieg abzuwenden. Dafür stellt Donald Trump Bedingungen. In der Frage des Nato-Ziels für die Rüstungsausgaben muss sie einen Eklat fürchten","","Die Welt","","",
"","Freitag 27. April 2018 ","","Kleine Sorgen, große Einkäufe; Die Bürger erfreuen sich steigender Einkommen und sicherer Jobs: Die Konsumstimmung ist grandios. Doch heimlich wachsen Ängste","","Die Welt","","",
"","Donnerstag 26. April 2018 ","","Macron lernte von Molière","","Die Welt","","",
"","Donnerstag 26. April 2018 ","","Tag 43","","Die Welt","","",
