"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Samstag 14. April 2018 ","","STAAT ZAHLT GARANTIERT 2,4 MIO. EURO; Politikerin kassiert auch für leeres Flüchtlings-Hotel","","BILD Bund","","",
"","Samstag 14. April 2018 ","","Inter view mit dem ZDH-Generalsekretär Holger Schwannecke; "Ein Handwerksmeister ist so viel wert wie ein Herzchirurg"","","BILD Bund","","",
"","Samstag 14. April 2018 ","","DAS S-BAHN-DRAMA VON WUPPERTAL; Mann reißt fremdes Kind vor Zug","","BILD Bund","","",
"","Samstag 14. April 2018 ","","Reisen mit Maas","","BILD Bund","","",
"","Freitag 13. April 2018 ","","Titelseite","","BILD Bund","","",
"","Freitag 13. April 2018 ","","1MAL DEUTSCHLAND UND ZURÜCK","","BILD Bund","","",
"","Freitag 13. April 2018 ","","Seehofer verlängert Grenzkontrollen","","BILD Bund","","",
"","Donnerstag 12. April 2018 ","","ZAHL DER AUSBILDUNGSVERTRÄGE STEIGT WIEDER","","BILD Bund","","",
"","Mittwoch 11. April 2018 ","","Kritik an Flüchtlings-Hotel; CDU-Politikerin muss zum Rapport!","","BILD Bund","","",
"","Mittwoch 11. April 2018 ","","Leser Schreiben in Bild","","BILD Bund","","",
"","Dienstag 10. April 2018 ","","Zehntausende Euro vom Steuerzahler; CDU-Politikerin kassiert mit Flüchtlings-Hotel ab!; Das Flüchtlings-Hotel der Kölner CDU-Politikerin; "Ich hatte früher Gäste aus aller Welt, ich habe heute Gäste aus aller Welt"","","BILD Bund","","",
"","Dienstag 10. April 2018 ","","Abschiebe-Bilanz 2017; 314-mal verweigerten Piloten die Rückführung","","BILD Bund","","",
"","8. April 2018 ","","Streit um Familiennachzug spaltet Große Koalition","","BILD am Sonntag","","",
"","8. April 2018 ","","Intoleranz gehört nicht zu Deutschland!","","BILD am Sonntag","","",
"","8. April 2018 ","","Bundesagentur sauer auf Bertelsmann-Stiftung","","BILD am Sonntag","","",
"","Samstag 7. April 2018 ","","Debatte um Recht und Ordnung; Seehofer lobt Spahn für Klartext","","BILD Bund","","",
"","Samstag 7. April 2018 ","","CDU-Mitglieder verfassen Anti-Merkel-Manifest","","BILD Bund","","",
"","Freitag 6. April 2018 ","","Jeder zehnte Hartz-Empfänger stammt aus Syrien","","BILD Bund","","",
"","Donnerstag 5. April 2018 ","","GROKO-MINISTER TRITT DEBATTE LOS; Sorge um Recht und Ordnung in Deutschland; GroKo-Minister Spahn über Drogendealer und Arbeiterviertel; "Es entsteht der Eindruck, dass der Staat nicht mehr willens oder in der Lage sei, Recht durchzusetzen"","","BILD Bund","","",
"","Donnerstag 5. April 2018 ","","Meldungen","","BILD Bund","","",
"","Donnerstag 5. April 2018 ","","GROKO-ZOFF UM FAMILIENNACHZUG VON FLÜCHTLINGEN","","BILD Bund","","",
"","Mittwoch 4. April 2018 ","","GIBT ES EIN RECHT AUF ARBEIT ODER SOGAR EINE PFLICHT ZUR ARBEIT?","","BILD Bund","","",
"","Mittwoch 4. April 2018 ","","Flüchtling Feras geht jetzt studieren; "Wer sich integrieren will, hat Respekt verdient!"","","BILD Bund","","",
"","Mittwoch 4. April 2018 ","","Titelseite","","BILD Bund","","",
"","Dienstag 3. April 2018 ","","Wie viele kommen nach Deutschland?; Israel und UN wollen 16 000 Flüchtlinge umsiedeln","","BILD Bund","","",
"","1. April 2018 ","","Hier trifft der BamS-Reporter seinen Fahrraddieb wieder.; Der steht jetzt wegen Mord vor Gericht","","BILD am Sonntag","","",
"","1. April 2018 ","","Glauben ist wie Fußball spielen. Man muss am Ball bleiben; Wie christlich ist Deutschland wirklich?","","BILD am Sonntag","","",
"","Samstag 31. März 2018 ","","Wegen Asylmissbrauch; Georgien soll sicheres Herkunftsland werden","","BILD Bund","","",
"","Samstag 31. März 2018 ","","Messer in Bauch gerammt; IST DAS EIN "RÜCKTRITT" VOM VERSUCH ZU TÖTEN?","","BILD Bund","","",
"","Samstag 31. März 2018 ","","Titelseite","","BILD Bund","","",
"","Donnerstag 29. März 2018 ","","Die Asyl-Tricks der Einbrecher-Banden; Sie missbrauchen das System, um zu stehlen; GEHEIM-AKTE KLAU-BANDEN; Die Wahrheit über georgische Einbrecher in Deutschland!","","BILD Bund","","",
"","Donnerstag 29. März 2018 ","","ELTERN VON MESSER-OPFER VIVIEN (24) KLAGEN AN; "Jeder soll sehen, was unserer Tochter angetan wurde"","","BILD Bund","","",
"","Donnerstag 29. März 2018 ","","Prozess um ermordete Schlossherrin; Witwer klagt Behörden an","","BILD Bund","","",
"","Mittwoch 28. März 2018 ","","Titelseite","","BILD Bund","","",
"","Mittwoch 28. März 2018 ","","Angeklagter schildert vor Gericht, wie er und ein Kumpel einen Flüchtling auf Amrum erstachen; MORD IN DEN DÜNEN","","BILD Bund","","",
"","Dienstag 27. März 2018 ","","Flüchtling sticht Frau nieder; Es begann mit einer Schubserei","","BILD Bund","","",
"","Dienstag 27. März 2018 ","","Islamismus-Alarm an Grundschulen; DER ZORN DER ELTERN; WIE DER ISLAMISMUS AN DIE GRUNDSCHULE WASSERMAUS KAM","","BILD Bund","","",
"","Montag 26. März 2018 ","","Junge (17) sticht Frau (24) vor Supermarkt nieder; Sie kam mit ihrem Freund vom Wochenend-Einkauf","","BILD Bund","","",
"","Montag 26. März 2018 ","","Titelseite","","BILD Bund","","",
"","25. März 2018 ","",""Nicht unterkriegen lassen. Frauen können alles"","","BILD am Sonntag","","",
"","25. März 2018 ","","Ihre Meinung zu BamS","","BILD am Sonntag","","",
"","25. März 2018 ","","Ich weiß nicht, ob ich ohne meine Frau überlebt hätte","","BILD am Sonntag","","",
"","Samstag 24. März 2018 ","","Islam-Streit zwischen Kanzlerin und Seehofer; Frau Merkel, darum liegen Sie falsch!; Wer spricht für Deutschland?","","BILD Bund","","",
"","Samstag 24. März 2018 ","","Titelseite","","BILD Bund","","",
"","Freitag 23. März 2018 ","","Urteil gegen Hussein K.; Marias Mörder kommt nie wieder frei!","","BILD Bund","","",
"","Freitag 23. März 2018 ","","Heimat PUR; Darum vermietet Sänger Hartmut Engler sein Elternhaus an syrische Flüchtlinge","","BILD Bund","","",
"","Freitag 23. März 2018 ","","FLÜCHTLINGS-MÄDCHEN ALAA (17) WURDE IM KINDERZIMMER NIEDERGESTOCHEN; Die dreisten Ausreden des Scharia-Vaters","","BILD Bund","","",
"","Donnerstag 22. März 2018 ","","Schlag gegen georgische Einbrecher-Banden!","","BILD Bund","","",
"","Donnerstag 22. März 2018 ","","Regierungs-Erklärung der Kanzlerin; ALLES SCHÖNE WORTE, FRAU MERKEL ...; ... aber dann müssen Sie DAS auch durchsetzen!","","BILD Bund","","",
"","Mittwoch 21. März 2018 ","","83 BEAMTE BRINGEN 22 ASYLBEWERBER NACH PAKISTAN","","BILD Bund","","",
"","Montag 19. März 2018 ","","BILD-Interview mit Olaf Scholz (SPD); Seehofer ist sein Islam-Satz auf die Füße gefallen","","BILD Bund","","",
"","Samstag 17. März 2018 ","","Was will Seehofer damit erreichen?","","BILD Bund","","",
"","Freitag 16. März 2018 ","","Musste Mireille sterben, weil sie einen anderen Jungen liebte?; Afghanischer Ex-Freund (18) soll das Mädchen (17) erstochen haben","","BILD Bund","","",
"","Freitag 16. März 2018 ","","Der neue Heimat-Minister Seehofer; "Der Islam gehört NICHT zu Deutschland"; Heimat-Minister Seehofer; "Muslime müssen mit uns leben, nicht neben uns"","","BILD Bund","","",
"","Freitag 16. März 2018 ","","Titelseite","","BILD Bund","","",
"","Donnerstag 15. März 2018 ","","Titelseite","","BILD Bund","","",
"","Donnerstag 15. März 2018 ","","Freundin des ermordeten Mädchens:; Mireille (+ 17) trug Kopftuch für ihren Killer","","BILD Bund","","",
