"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","Freitag 4. Mai 2018 ","","Der freie Mensch geht auf eigenen Füßen; Sinnbild für unsere Lebensreise: Mit der Sonderausstellung "Wanderlust" präsentiert die Alte Nationalgalerie in Berlin bedeutende Kunstwerke über das Wandern","","Die Welt","","",
"","Freitag 4. Mai 2018 ","","Wehrhaft und rechtskonform","","Die Welt","","",
"","Freitag 4. Mai 2018 ","","Wir schaffen es nicht; Im Innern wie im Äußeren sind die Deutschen, was Sicherheitspolitik angeht, unfähig zu wirklich luzider Strategie und ducken sich weg. An dieser Krankheit leidet die Gesellschaft. Und auch die Politik","","Die Welt","","",
"","Freitag 4. Mai 2018 ","",""Eventuell bricht ein Kleinkrieg aus"; Protokolle der Polizei zeigen, wie die Sicherheitskräfte beim Einsatz in der Asylbewerberunterkunft in Ellwangen von Bewohnern attackiert wurden","","Die Welt","","",
"","Freitag 4. Mai 2018 ","","Zwischen Schönrednerei und Übertreibung; Wie reagiert die Kleinstadt auf die Zwischenfälle?","","Die Welt","","",
"","Freitag 4. Mai 2018 ","","Politik Kompakt; Ex-Generalbundesanwalt: Harald Range stirbt mit 70 Jahren ++ BAMF-Skandal: Ministerium wusste früher von Korruption ++ Soziales: Essener Tafel erhält mehr Spenden ++ Belgien: Abtreibung soll liberalisiert werden","","Die Welt","","",
"","Freitag 4. Mai 2018 ","","Vor dem Monsun; 900.000 Rohingya aus Birma sind nach Bangladesch geflohen. Allein im größten Lager leben 618.000 Menschen. Viele haben Angst vor der Regenzeit, die jedes Jahr Todesopfer fordert. Helfer versuchen, die Camps zu sichern. Ein Rennen gegen die Zeit","","Die Welt","","",
"","Freitag 4. Mai 2018 ","","Was vom Wunder übrig bleibt; Drei Monate nach dem Sensationscoup bei den Olympischen Spielen startet das deutsche Nationalteam mit dem Spiel gegen Gastgeber Dänemark in die Eishockey-WM. Gelingt es, den entfachten Boom um die Sportart aufrechtzuerhalten?","","Die Welt","","",
"","Freitag 4. Mai 2018 ","","Auschwitz ist für alle da!; Taktisch klug: Die Skandal-Rapper Farid Bang und Kollegah besuchen auf Einladung des Auschwitz-Komitees die KZ-Gedenkstätte","","Die Welt","","",
"","Freitag 4. Mai 2018 ","","Der Massenselbstmord von Demmin; Im Mai 1945 töteten sich in der Kleinstadt in Vorpommern rund tausend Menschen. Nur zögernd nimmt die Gegenwart Notiz davon","","Die Welt","","",
